,signature,body,docstring,id
27459,"fun invalidateAndGetDirtyFiles(changedSources: Collection<File>, dirtyClasspathJvmNames: Collection<String>, compiledSources: List<File>): SourcesToReprocess","{
    if (!aptCache.isIncremental) {
        return SourcesToReprocess.FullRebuild
    }
    /**
    
             * Incremental annotation processing tries to limit the number of .java files that are passes to annotation processors, and it
    
             * uses already existing .class files to resolve types. This relies on outputs of kotlinc and javac being present.
    
             *
    
             * The check below verifies that the number of types defined in the processed .java files matches the number of .class files
    
             * in the compiled sources. This check does not guarantee that .class file will indeed exist for every defined type, but
    
             * even if such check is introduced, there is no guarantee that the actual content of the source file matches the .class file. E.g:
    
             * - clean build i.e non-incremental KAPT
    
             * - modify B.java with error in the method body: KAPT runs successfully, but java compilation will fail (assume old B.class is kept)
    
             * - add C.java that references B as method parameter type: KAPT wil only process C.java, and it will use old version of B
    
             * To properly fix this, KAPT needs to keep track of kotlinc and javac compilation outcome, and there is no clean API to do that.
    
             *
    
             * However, comparing total numbers is probably good enough, and it should eliminate most of the issues. See KT-41456 for details.
    
             */<bound method PropertyDeclaration.__str__ of PropertyDeclaration(position=Position(line=125, column=9), modifiers=(), mutability=<Mutability.VAL: 'val'>, generics=(), receiver=None, declaration=VariableDeclaration(position=Position(line=125, column=13), annotations=(), name='totalDeclaredTypes', type=None), constraints=(), value=PostfixUnaryExpression(position=Position(line=125, column=34), expression=SimpleIdentifier(position=Position(line=125, column=34), value='javaCache'), suffixes=[NavigationSuffix(position=Position(line=125, column=43), operator='.', suffix='getSourceFileDefinedTypesCount'), CallSuffix(position=Position(line=125, column=74), generics=(), arguments=ValueArguments(position=Position(line=125, column=74), sequence=[]), lambda_expression=None)]), delegate=None, getter=None, setter=None)>
    val compileOutputHasEnoughClassFiles = checkMinNumberOfClassFiles(compiledSources, totalDeclaredTypes)
    if (!compileOutputHasEnoughClassFiles) {
        return SourcesToReprocess.FullRebuild
    }
    val dirtyClasspathFqNames = HashSet<String>(dirtyClasspathJvmNames.size)
    dirtyClasspathJvmNames.forEach { dirtyClasspathFqNames.add(it.replace(""$"", ""."").replace(""/"", ""."")) }
    val changes = Changes(changedSources, dirtyClasspathFqNames.toSet())
    val aggregatingGeneratedTypes = aptCache.getAggregatingGeneratedTypes(javaCache::getTypesForFiles)
    val impactedTypes = getAllImpactedTypes(changes, aggregatingGeneratedTypes)
    val isolatingGeneratedTypes = aptCache.getIsolatingGeneratedTypes(javaCache::getTypesForFiles)
    val sourcesToReprocess = changedSources.toMutableSet()
    val classNamesToReprocess = mutableListOf<String>()
    if (changedSources.isNotEmpty() || impactedTypes.isNotEmpty()) {
        for (aggregatingOrigin in aptCache.getAggregatingOrigins()) {
            if (aggregatingOrigin in impactedTypes) continue
            val originSource = javaCache.getSourceForType(aggregatingOrigin)
            if (originSource.extension == ""java"") {
                sourcesToReprocess.add(originSource)
            } else if (originSource.extension == ""class"") {
                classNamesToReprocess.add(aggregatingOrigin)
            }
        }
    }
    for (impactedType in impactedTypes) {
        if (impactedType !in isolatingGeneratedTypes && impactedType !in aggregatingGeneratedTypes) {
            sourcesToReprocess.add(javaCache.getSourceForType(impactedType))
        } else if (impactedType in isolatingGeneratedTypes) {
            val isolatingOrigin = aptCache.getOriginForGeneratedIsolatingType(impactedType, javaCache::getSourceForType)
            if (isolatingOrigin in impactedTypes || isolatingOrigin in dirtyClasspathFqNames) {
                continue
            }
            val originSource = javaCache.getSourceForType(isolatingOrigin)
            if (originSource.extension == ""java"") {
                sourcesToReprocess.add(originSource)
            } else if (originSource.extension == ""class"") {
                classNamesToReprocess.add(isolatingOrigin)
            }
        }
    }
    if (sourcesToReprocess.isNotEmpty() || classNamesToReprocess.isNotEmpty()) {
        javaCache.invalidateDataForTypes(impactedTypes)
        aptCache.invalidateAggregating()
        aptCache.invalidateIsolatingForOriginTypes(impactedTypes + dirtyClasspathFqNames)
    }
    return SourcesToReprocess.Incremental(sourcesToReprocess.toList(), impactedTypes, classNamesToReprocess)
}","/**

     * From set of changed sources, get list of files to recompile using structural information and dependency information from

     * annotation processing.

     */",f9696:m71
63677,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.3"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") @ExperimentalUnsignedTypes public fun UShortArray.contentHashCode(): Int","{
    return this.contentHashCode()
}","/**

 * Returns a hash code based on the contents of this array as if it is [List].

 */",f17408:m465
48052,internal suspend fun Project.findCInteropCommonizerGroup(dependent: CInteropCommonizerDependent): CInteropCommonizerGroup?,"{
    val suitableGroups = kotlinCInteropGroups.await().filter { group -> group.interops.containsAll(dependent.interops) && group.targets.contains(dependent.target) }
    assert(suitableGroups.size <= 1) { ""CInteropCommonizerTask: Unnecessary work detected: More than one suitable group found for cinterop dependent."" }
    return suitableGroups.firstOrNull()
}","/**

 * Utility function that allows to find the corresponding [CInteropCommonizerGroup] for a given [CInteropCommonizerDependent]

 */",f15520:m187
57083,"public fun File.appendText(text: String, charset: Charset = Charsets.UTF_8): Unit","FileOutputStream(this, true).use { it.writeTextImpl(text, charset) }","/**

 * Appends [text] to the content of this file using UTF-8 or the specified [charset].

 *

 * @param text text to append to file.

 * @param charset character set to use.

 */",f16956:m285
43571,"fun BuildResult.assertOutputContains(expectedSubString: String, message: String = ""Build output does not contain \""$expectedSubString\"""")","{
    assert(output.contains(expectedSubString)) {
        printBuildOutput()
        message
    }
}","/**

 * Asserts Gradle output contains [expectedSubString] string.

 */",f13457:m29
63332,internal fun <T> MutableList<T>.replaceAll(transformation: (T) -> T),"{
    val it = listIterator()
    while (it.hasNext()) {
        val element = it.next()
        it.set(transformation(element))
    }
}","/**

 * Replaces each element in the list with a result of a transformation specified.

 */",f17381:m15
57476,"@SinceKotlin(""1.4"") @OptIn(kotlin.experimental.ExperimentalTypeInference::class) @OverloadResolutionByLambdaReturnType @kotlin.jvm.JvmName(""sumOfBigInteger"") @kotlin.internal.InlineOnly public inline fun FloatArray.sumOf(selector: (Float) -> java.math.BigInteger): java.math.BigInteger","{
    var sum: java.math.BigInteger = 0.toBigInteger()
    for (element in this) {
        sum += selector(element)
    }
    return sum
}","/**

 * Returns the sum of all values produced by [selector] function applied to each element in the array.

 */",f16970:m6081
7339,fun main(args: Array<String>),"{
    if (args.isEmpty()) {
        printBottles(99)
    } else {
        val bottles = args[0].toIntOrNull()
        if (bottles != null) {
            printBottles(bottles)
        } else {
            println(""You have passed '${args[0]}' as a number of bottles, "" + ""but it is not a valid integral number"")
        }
    }
}","/**

 * This example implements the famous ""99 Bottles of Beer"" program

 * See http://99-bottles-of-beer.net/

 *

 * The point is to print out a song with the following lyrics:

 *

 *     The ""99 bottles of beer"" song

 *

 *     99 bottles of beer on the wall, 99 bottles of beer.

 *     Take one down, pass it around, 98 bottles of beer on the wall.

 *

 *     98 bottles of beer on the wall, 98 bottles of beer.

 *     Take one down, pass it around, 97 bottles of beer on the wall.

 *

 *       ...

 *

 *     2 bottles of beer on the wall, 2 bottles of beer.

 *     Take one down, pass it around, 1 bottle of beer on the wall.

 *

 *     1 bottle of beer on the wall, 1 bottle of beer.

 *     Take one down, pass it around, no more bottles of beer on the wall.

 *

 *     No more bottles of beer on the wall, no more bottles of beer.

 *     Go to the store and buy some more, 99 bottles of beer on the wall.

 *

 * Additionally, you can pass the desired initial number of bottles to use (rather than 99)

 * as a command-line argument

 */",f3077:m5
63446,"@Deprecated(""Use Kotlin compiler 1.4 to avoid deprecation warning."") @SinceKotlin(""1.1"") @DeprecatedSinceKotlin(hiddenSince = ""1.4"") public fun <T> Array<out T>.contentHashCode(): Int","{
    return this.contentHashCode()
}","/**

 * Returns a hash code based on the contents of this array as if it is [List].

 */",f17396:m1405
15050,"@SinceKotlin(""1.4"") public actual fun <T: Comparable<T>> minOf(a: T, vararg other: T): T","{
    var min = a
    for (e in other) min = minOf(min, e)
    return min
}","/**

 * Returns the smaller of the given values.

 * 

 * If there are multiple equal minimal values, returns the first of them.

 */",f3836:m739
64883,"@Suppress(""INVISIBLE_REFERENCE"", ""INVISIBLE_MEMBER"") @InlineOnly public actual inline fun todo(@Suppress(""UNUSED_PARAMETER"") block: () -> Unit)","{
    println(""TODO at "" + currentStackTrace()[0])
}","/**

 * Takes the given [block] of test code and _doesn't_ execute it.

 *

 * This keeps the code under test referenced, but doesn't actually test it until it is implemented.

 */",f17532:m187
57024,@kotlin.internal.InlineOnly public inline fun URL.readText(charset: Charset = Charsets.UTF_8): String,readBytes().toString(charset),"/**

 * Reads the entire content of this URL as a String using UTF-8 or the specified [charset].

 *

 * This method is not recommended on huge files.

 *

 * @param charset a character set to use.

 * @return a string with this URL entire content.

 */",f16950:m273
14963,public actual operator fun ByteArray.plus(elements: Collection<Byte>): ByteArray,"{
    var index = size
    val result = copyOfUninitializedElements(index + elements.size)
    for (element in elements) result[index++] = element
    return result
}","/**

 * Returns an array containing all elements of the original array and then all elements of the given [elements] collection.

 */",f3831:m4181
10039,"internal fun <Data, Context: PhaseContext> getDefaultLlvmModuleActions(): Set<Action<Data, Context>>","setOf(createLlvmDumperAction(), createLlvmVerifierAction())","/**

 * Default set of dump and validate actions for LLVM phases.

 */",f3408:m159
36974,fun getOutputLines(withErrors: Boolean = false): List<String>,"getResult(withErrors, handleError = true).outputLines","/**

     * If withErrors is true then output from error stream will be added

     */",f11677:m165
49531,private fun ResolvedDependencyResult.toModuleDependencyIdentifier(): ModuleDependencyIdentifier,"{
    val component = selected
    return when (val componentId = component.id) {
        is ModuleComponentIdentifier -> ModuleDependencyIdentifier(componentId.group, componentId.module)
        is ProjectComponentIdentifier -> {
            if (componentId in params.build) {
                params.projectData[componentId.projectPath]?.moduleId?.getOrThrow() ?: error(""Cant find project Module ID by ${componentId.projectPath}"")
            } else {
                ModuleDependencyIdentifier(component.moduleVersion?.group ?: ""unspecified"", component.moduleVersion?.name ?: ""unspecified"")
            }
        }
        else -> error(""Unknown ComponentIdentifier: $this"")
    }
}","/**

     * Behaves as [ModuleIds.fromComponent]

     */",f15872:m593
54632,internal fun Char.digitToIntImpl(): Int,"{
    val ch = this.code
    val index = binarySearchRange(Digit.rangeStart, ch)
    val diff = ch - Digit.rangeStart[index]
    return if (diff < 10) diff else -1
}","/**

 * Returns an integer from 0..9 indicating the digit this character represents,

 * or -1 if this character is not a digit.

 */",f16708:m85
52875,"@SinceKotlin(""1.4"") public actual fun Int.takeHighestOneBit(): Int",if (this == 0) 0 else 1.shl(Int.SIZE_BITS - 1 - countLeadingZeroBits()),"/**

 * Returns a number having a single bit set in the position of the most significant set bit of this [Int] number,

 * or zero, if this number is zero.

 */",f16581:m255
58799,"public inline fun <T, K, M: MutableMap<in K, MutableList<T>>> Sequence<T>.groupByTo(destination: M, keySelector: (T) -> K): M","{
    for (element in this) {
        val key = keySelector(element)
        val list = destination.getOrPut(key) { ArrayList<T>() }
        list.add(element)
    }
    return destination
}","/**

 * Groups elements of the original sequence by the key returned by the given [keySelector] function

 * applied to each element and puts to the [destination] map each group key associated with a list of corresponding elements.

 * 

 * @return The [destination] map.

 *

 * The operation is _terminal_.

 * 

 * @sample samples.collections.Collections.Transformations.groupBy

 */",f17096:m2019
56542,"@SinceKotlin(""1.2"") public actual operator fun MatchGroupCollection.get(name: String): MatchGroup?","{
    val namedGroups = this as? MatchNamedGroupCollection ?: throw UnsupportedOperationException(""Retrieving groups by name is not supported on this platform."")
    return namedGroups[name]
}","/**

 * Returns a named group with the specified [name].

 *

 * @return An instance of [MatchGroup] if the group with the specified [name] was matched or `null` otherwise.

 * @throws IllegalArgumentException if there is no group with the specified [name] defined in the regex pattern.

 * @throws UnsupportedOperationException if this match group collection doesn't support getting match groups by name,

 * for example, when it's not supported by the current platform.

 */",f16893:m19
14995,"@SinceKotlin(""1.4"") @Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun DoubleArray.sort(fromIndex: Int = 0, toIndex: Int = size): Unit","{
    AbstractList.checkRangeIndexes(fromIndex, toIndex, size)
    sortArray(this, fromIndex, toIndex)
}","/**

 * Sorts a range in the array in-place.

 * 

 * @param fromIndex the start of the range (inclusive) to sort, 0 by default.

 * @param toIndex the end of the range (exclusive) to sort, size of this array by default.

 * 

 * @throws IndexOutOfBoundsException if [fromIndex] is less than zero or [toIndex] is greater than the size of this array.

 * @throws IllegalArgumentException if [fromIndex] is greater than [toIndex].

 * 

 * @sample samples.collections.Arrays.Sorting.sortRangeOfArray

 */",f3831:m4923
64411,"@SinceKotlin(""1.1"") public inline fun <reified T: Enum<T>> enumValueOf(name: String): T",enumValueOfIntrinsic(name),"/**

 * Returns an enum entry with specified name.

 */",f17462:m175
56139,public fun <T: Any> nullsFirst(comparator: Comparator<in T>): Comparator<T?>,"Comparator { a, b -> when {
    a === b -> 0
    a == null -> -1
    b == null -> 1
    else -> comparator.compare(a, b)
} }","/**

 * Extends the given [comparator] of non-nullable values to a comparator of nullable values

 * considering `null` value less than any other value.

 * Non-null values are compared with the provided [comparator].

 *

 * @sample samples.comparisons.Comparisons.nullsFirstLastWithComparator

 */",f16832:m449
13962,"@Suppress(""ACTUAL_FUNCTION_WITH_DEFAULT_ARGUMENTS"") public actual fun String.replace(oldChar: Char, newChar: Char, ignoreCase: Boolean = false): String","{
    return if (!ignoreCase) replace(oldChar, newChar) else replaceIgnoreCase(oldChar, newChar)
}","/**

 * Returns a new string with all occurrences of [oldChar] replaced with [newChar].

 *

 * @sample samples.text.Strings.replace

 */",f3713:m111
58984,public fun CharSequence.toList(): List<Char>,"{
    return when (length) {
        0 -> emptyList()
        1 -> listOf(this[0])
        else -> this.toMutableList()
    }
}","/**

 * Returns a [List] containing all characters.

 */",f17097:m1619
70357,"fun put(key: K, value: D, oldValue: D?): S","{
    @Suppress(""UNCHECKED_CAST"") if (value == oldValue) return this as S
    return copy(map.put(key, value))
}","/**

     * This overload exists just for sake of optimizations: in some cases we've just retrieved the old value,

     * so we don't need to scan through the persistent hashmap again

     */",f19634:m71
63546,public actual operator fun ByteArray.plus(element: Byte): ByteArray,"{
    val index = size
    val result = copyOfUninitializedElements(index + 1)
    result[index] = element
    return result
}","/**

 * Returns an array containing all elements of the original array and then the given [element].

 */",f17396:m4107
47785,internal fun KonanTarget.enabledOnCurrentHostForKlibCompilation(provider: PropertiesProvider),HostManager().isEnabled(this) || provider.enableKlibsCrossCompilation,"/**

 * Returns whether klib compilation is allowed for [this]-target on the current host.

 * [enabledOnCurrentHostForBinariesCompilation] returns 'true' only if [enabledOnCurrentHostForKlibCompilation]

 * returns 'true'

 *

 * [enabledOnCurrentHostForKlibCompilation] might return 'true' in some cases where [enabledOnCurrentHostForBinariesCompilation]

 * returns 'false' (e.g.: compile a klib for iOS target on Linux when the code depends only on Kotlin Stdlib)

 *

 * Ideally, these APIs should be in [HostManager] instead of KGP-side wrappers. Refer to KT-64512 for that

 */",f15455:m229
55895,"@kotlin.internal.LowPriorityInOverloadResolution public fun <T: Any> generateSequence(seed: T?, nextFunction: (T) -> T?): Sequence<T>","if (seed == null) EmptySequence else GeneratorSequence({ seed }, nextFunction)","/**

 * Returns a sequence defined by the starting value [seed] and the function [nextFunction],

 * which is invoked to calculate the next value based on the previous one on each iteration.

 *

 * The sequence produces values until it encounters first `null` value.

 * If [seed] is `null`, an empty sequence is produced.

 *

 * The sequence can be iterated multiple times, each time starting with [seed].

 *

 * @see kotlin.sequences.sequence

 *

 * @sample samples.collections.Sequences.Building.generateSequenceWithSeed

 */",f16815:m1323
